"filename", "language", "pip requirements", "Python", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/home/krzych/Desktop/jamwithme/notification/utils.py", "Python", 0, 1, 0, 0, 0, 0, 2, 3
"/home/krzych/Desktop/jamwithme/notification/views.py", "Python", 0, 28, 0, 0, 0, 0, 4, 32
"/home/krzych/Desktop/jamwithme/posts/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/krzych/Desktop/jamwithme/posts/admin.py", "Python", 0, 7, 0, 0, 0, 1, 3, 11
"/home/krzych/Desktop/jamwithme/posts/apps.py", "Python", 0, 4, 0, 0, 0, 0, 3, 7
"/home/krzych/Desktop/jamwithme/posts/forms.py", "Python", 0, 10, 0, 0, 0, 1, 4, 15
"/home/krzych/Desktop/jamwithme/posts/migrations/0001_initial.py", "Python", 0, 136, 0, 0, 0, 1, 7, 144
"/home/krzych/Desktop/jamwithme/posts/migrations/0002_alter_post_options.py", "Python", 0, 8, 0, 0, 0, 1, 6, 15
"/home/krzych/Desktop/jamwithme/posts/migrations/0003_post_picture.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/home/krzych/Desktop/jamwithme/posts/migrations/0004_post_record.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/home/krzych/Desktop/jamwithme/posts/migrations/0005_rate_rater.py", "Python", 0, 19, 0, 0, 0, 1, 6, 26
"/home/krzych/Desktop/jamwithme/posts/migrations/0006_comment_dislikes_comment_likes_post_dislikes_and_more.py", "Python", 0, 37, 0, 0, 0, 1, 6, 44
"/home/krzych/Desktop/jamwithme/posts/migrations/0007_alter_comment_options.py", "Python", 0, 11, 0, 0, 0, 1, 6, 18
"/home/krzych/Desktop/jamwithme/posts/migrations/0008_alter_comment_body_alter_post_body_and_more.py", "Python", 0, 27, 0, 0, 0, 1, 6, 34
"/home/krzych/Desktop/jamwithme/posts/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/krzych/Desktop/jamwithme/posts/models.py", "Python", 0, 50, 0, 0, 0, 0, 15, 65
"/home/krzych/Desktop/jamwithme/posts/templates/posts/create_post.html", "HTML", 0, 0, 18, 0, 0, 6, 3, 27
"/home/krzych/Desktop/jamwithme/posts/templates/posts/delete_post.html", "HTML", 0, 0, 11, 0, 0, 0, 2, 13
"/home/krzych/Desktop/jamwithme/posts/templates/posts/post.html", "HTML", 0, 0, 293, 0, 0, 3, 30, 326
"/home/krzych/Desktop/jamwithme/posts/templates/posts/posts.html", "HTML", 0, 0, 85, 0, 0, 2, 10, 97
"/home/krzych/Desktop/jamwithme/posts/tests.py", "Python", 0, 1, 0, 0, 0, 1, 2, 4
"/home/krzych/Desktop/jamwithme/posts/urls.py", "Python", 0, 15, 0, 0, 0, 1, 3, 19
"/home/krzych/Desktop/jamwithme/posts/utils.py", "Python", 0, 61, 0, 0, 0, 0, 13, 74
"/home/krzych/Desktop/jamwithme/posts/views.py", "Python", 0, 205, 0, 0, 0, 46, 30, 281
"/home/krzych/Desktop/jamwithme/requirements.txt", "pip requirements", 65, 0, 0, 0, 0, 0, 0, 65
"/home/krzych/Desktop/jamwithme/static/js/main.js", "JavaScript", 0, 0, 0, 0, 0, 44, 8, 52
"/home/krzych/Desktop/jamwithme/static/styles/main.css", "CSS", 0, 0, 0, 0, 64, 0, 17, 81
"/home/krzych/Desktop/jamwithme/templates/error.html", "HTML", 0, 0, 5, 0, 0, 0, 0, 5
"/home/krzych/Desktop/jamwithme/templates/frontend_cut.html", "HTML", 0, 0, 58, 0, 0, 25, 3, 86
"/home/krzych/Desktop/jamwithme/templates/main.html", "HTML", 0, 0, 49, 0, 0, 0, 6, 55
"/home/krzych/Desktop/jamwithme/templates/navbar.html", "HTML", 0, 0, 38, 0, 0, 0, 1, 39
"/home/krzych/Desktop/jamwithme/templates/pagination.html", "HTML", 0, 0, 17, 0, 0, 0, 2, 19
"/home/krzych/Desktop/jamwithme/users/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/krzych/Desktop/jamwithme/users/admin.py", "Python", 0, 5, 0, 0, 0, 1, 4, 10
"/home/krzych/Desktop/jamwithme/users/apps.py", "Python", 0, 6, 0, 0, 0, 0, 3, 9
"/home/krzych/Desktop/jamwithme/users/forms.py", "Python", 0, 38, 0, 0, 0, 2, 9, 49
"/home/krzych/Desktop/jamwithme/users/migrations/0001_initial.py", "Python", 0, 103, 0, 0, 0, 1, 7, 111
"/home/krzych/Desktop/jamwithme/users/migrations/0002_instrument_level_alter_instrument_player.py", "Python", 0, 19, 0, 0, 0, 1, 6, 26
"/home/krzych/Desktop/jamwithme/users/migrations/0003_remove_instrument_player_instrument_player.py", "Python", 0, 19, 0, 0, 0, 1, 6, 26
"/home/krzych/Desktop/jamwithme/users/migrations/0004_alter_instrument_level.py", "Python", 0, 23, 0, 0, 0, 1, 6, 30
"/home/krzych/Desktop/jamwithme/users/migrations/0005_profile_profile_image.py", "Python", 0, 17, 0, 0, 0, 1, 6, 24
"/home/krzych/Desktop/jamwithme/users/migrations/0006_rename_name_profile_first_name_profile_last_name.py", "Python", 0, 15, 0, 0, 0, 1, 6, 22
"/home/krzych/Desktop/jamwithme/users/migrations/0007_profile_friend.py", "Python", 0, 16, 0, 0, 0, 1, 6, 23
"/home/krzych/Desktop/jamwithme/users/migrations/0008_alter_profile_friend.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/home/krzych/Desktop/jamwithme/users/migrations/0009_remove_profile_friend.py", "Python", 0, 8, 0, 0, 0, 1, 6, 15
"/home/krzych/Desktop/jamwithme/users/migrations/0010_profile_friend.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/home/krzych/Desktop/jamwithme/users/migrations/0011_alter_instrument_level.py", "Python", 0, 21, 0, 0, 0, 1, 6, 28
"/home/krzych/Desktop/jamwithme/users/migrations/0012_message_body.py", "Python", 0, 10, 0, 0, 0, 1, 6, 17
"/home/krzych/Desktop/jamwithme/users/migrations/0013_remove_profile_friend_profile_followers_and_more.py", "Python", 0, 33, 0, 0, 0, 1, 6, 40
"/home/krzych/Desktop/jamwithme/users/migrations/0014_remove_profile_followers_remove_profile_following_and_more.py", "Python", 0, 23, 0, 0, 0, 1, 6, 30
"/home/krzych/Desktop/jamwithme/users/migrations/0015_alter_profile_followers_alter_profile_following.py", "Python", 0, 17, 0, 0, 0, 1, 6, 24
"/home/krzych/Desktop/jamwithme/users/migrations/0016_remove_profile_followers_remove_profile_following_and_more.py", "Python", 0, 35, 0, 0, 0, 1, 6, 42
"/home/krzych/Desktop/jamwithme/users/migrations/0017_alter_follow_follower_alter_follow_user.py", "Python", 0, 22, 0, 0, 0, 1, 6, 29
"/home/krzych/Desktop/jamwithme/users/migrations/0018_alter_follow_follower_alter_follow_user.py", "Python", 0, 24, 0, 0, 0, 1, 6, 31
"/home/krzych/Desktop/jamwithme/users/migrations/0019_alter_follow_follower_alter_follow_user.py", "Python", 0, 22, 0, 0, 0, 1, 6, 29
"/home/krzych/Desktop/jamwithme/users/migrations/0020_follow_created_alter_follow_id.py", "Python", 0, 28, 0, 0, 0, 1, 6, 35
"/home/krzych/Desktop/jamwithme/users/migrations/0021_alter_follow_follower.py", "Python", 0, 14, 0, 0, 0, 1, 6, 21
